Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments	Task
C40	29315	0.859252942179771	0.768589997864095	14	5
C41	28669	0.967944469636192	0.960340531561462	11	5
C42	28279	0.876056437639238	0.470630699088146	6	5
C43	27607	0.670445901401818	0.36785515541776	19	5
C44	25198	0.717596634653544	0.501094637661078	8	5
C45	18516	0.895441780082091	0.878876225815001	14	5
C46	16140	0.817905824039653	0.657616817774235	13	5
C47	14990	0.99072715143429	0.895123862335001	10	5
C48	14772	0.956471703222312	0.943568852677975	7	5
C49	13604	0.897383122610997	0.850553891172577	7	5
C5	83192	0.875829406673719	0.872786948084617	20	5
C50	13278	0.807877692423558	0.629223369310183	14	5
C51	12898	0.995115521786323	0.982696577597427	9	5
C52	11947	0.996568176111158	0.977905544147844	7	5
C53	11535	0.997745990463806	0.981410420397374	6	5
C54	11207	0.997590791469617	0.994219653179191	9	5
C55	11147	0.994437965371849	0.958412588621823	10	5
C56	9883	0.976930081958919	0.974957083712007	8	5
C57	9625	0.975272727272727	0.970032034721505	5	5
C58	9099	0.995274205956699	0.992112182296231	6	5
C59	7729	0.998706171561651	0.881164383561644	4	5
C6	80099	0.933032871821121	0.838644881836748	13	5
C60	6398	0.690215692403876	0.154697680936033	13	5
C61	5651	0.913289683241904	0.796819515207658	18	5
C62	5289	0.982605407449423	0.980381060177325	5	5
C63	4586	0.856083733100741	0.513807093312394	22	5
C64	4122	0.988112566715187	0.967688287004039	9	5
C65	4099	0.993413027567699	0.9686013320647	4	5
C66	3624	0.990618101545254	0.765295246216159	4	5
C67	3539	0.997174343034756	0.992407199100112	7	5
C68	2856	0.997899159663866	0.0756469807564698	3	5
C69	2074	0.95274831243973	0.839422259983008	6	5
C7	75836	0.67469275805686	0.61275912863319	37	5
C70	1488	0.852822580645161	0.450319375443577	7	5
C71	1147	0.967741935483871	0.846681922196796	6	5
C72	732	0.997267759562842	0.986486486486487	3	5
C73	674	0.995548961424332	0.0231602926963965	2	5
C74	591	0.998307952622673	0.993265993265993	2	5
C8	72416	0.589772978347327	0.577507639884252	10	5
C9	69857	0.707502469330203	0.701467540946379	6	5
